tipo_propuesta_formativa_desc,propuesta_formativa_desc,anio_academico,actividad_desc,periodo_lectivo,catedra_desc,comision_desc,condicion_regularidad_desc,resultado_desc,cantidad_alumnos,total,porcentaje
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Regular,Regular,11,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Sin Actuación,Sin Actuación,21,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Libre,10,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Sin Actuación,18,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Regular,Regular,2,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Libre,55,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Sin Actuación,37,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Regular,Regular,59,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Libre,46,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Sin Actuación,73,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Regular,Regular,93,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Libre,103,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Sin Actuación,35,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Regular,Regular,68,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,84,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Sin Actuación,120,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,80,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Libre,24,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Sin Actuación,89,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Regular,Regular,47,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Libre,Libre,30,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Regular,Regular,39,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Sin Actuación,Sin Actuación,40,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Libre,92,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Sin Actuación,44,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Regular,Regular,77,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Libre,19,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Sin Actuación,11,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Regular,Regular,27,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Libre,21,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Sin Actuación,28,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Regular,Regular,31,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Libre,41,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Sin Actuación,11,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Regular,Regular,26,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,42,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Sin Actuación,56,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,30,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Libre,9,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Sin Actuación,45,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Regular,Regular,17,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Libre,Libre,13,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Regular,Regular,17,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Sin Actuación,Sin Actuación,17,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Libre,41,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Sin Actuación,12,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Regular,Regular,27,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Libre,3,,
