"Tipo Propuesta Formativa","Propuesta Formativa","Año","Período","Resultado","Finales"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Julio - Agosto","Ausente","463.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","351.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Septiembre","Ausente","52.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - 11 - Febrero - Marzo","Ausente","319.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Mayo","Reprobado","13.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Julio - Agosto","Reprobado","221.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","130.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Nivelación","Reprobado","2.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Septiembre","Reprobado","16.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - 11 - Febrero - Marzo","Reprobado","145.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Febrero - Marzo","Aprobado","498.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11- Julio - Agosto","Aprobado","727.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","734.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Turno Especial de Mayo","Aprobado","68.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Aprobado","77.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Nivelación","Aprobado","4.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Febrero - Marzo","Ausente","414.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11- Julio - Agosto","Ausente","602.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","459.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Turno Especial de Mayo","Ausente","73.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Ausente","64.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11 - Febrero - Marzo","Reprobado","212.0"
"Grado","Licenciatura en Economía","2020","2020 - 2 - 11- Julio - Agosto","Reprobado","286.0"
