"Año","Propuesta Formativa","Período","Resultado","Finales"
"2019","Maestría en Dirección de Negocios","2019 - 2 - Turno Único 2019","Aprobado","41.0"
"2019","Maestría en Dirección de Negocios","2019 - 2 - 2019","Ausente","37.0"
"2019","Maestría en Dirección de Negocios","2019 - 2 - Turno Único 2019","Ausente","3.0"
"2019","Maestría en Economía Pública y Políticas Económicas Sociales y Regionales","2019 - 2 - 2019","Aprobado","132.0"
"2019","Maestría en Economía Pública y Políticas Económicas Sociales y Regionales","2019 - 2 - Turno Único 2019","Aprobado","69.0"
"2019","Maestría en Economía Pública y Políticas Económicas Sociales y Regionales","2019 - 2 - 2019","Ausente","43.0"
"2019","Maestría en Economía Pública y Políticas Económicas Sociales y Regionales","2019 - 2 - Turno Único 2019","Ausente","3.0"
"2019","Maestría en Economía Pública y Políticas Económicas Sociales y Regionales","2019 - 2 - 2019","Reprobado","6.0"
"2019","Maestría en Estadística Aplicada","2019 - 2 - 2019","Aprobado","52.0"
"2019","Maestría en Estadística Aplicada","2019 - 2 - Turno Único 2019","Aprobado","62.0"
"2019","Maestría en Estadística Aplicada","2019 - 2 - 2019","Ausente","10.0"
"2019","Maestría en Estadística Aplicada","2019 - 2 - Turno Único 2019","Ausente","15.0"
"2019","VOCACIONALES POSGRADO","2019 - 2 - 2019","Aprobado","15.0"
"2019","VOCACIONALES POSGRADO","2019 - 2 - Turno Único 2019","Aprobado","1.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - Julio - Agosto","Aprobado","15.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","3.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - Julio - Agosto","Ausente","34.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","2.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - Septiembre","Ausente","4.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - 11 - Febrero - Marzo","Ausente","3.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - Julio - Agosto","Reprobado","7.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","2.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - Septiembre","Reprobado","2.0"
"2019","11-Bachiller Universitario en Ciencias Sociales","2019 - 2 - 11 - Febrero - Marzo","Reprobado","2.0"
"2019","Bachiller en Ciencias Económicas - Orientación en Contabilidad","2019 - 2 - Julio - Agosto","Ausente","1.0"
"2019","Tecnicatura en Gestión Universitaria - Modalidad a Distancia -","2019 - 2 - Julio - Agosto","Aprobado","39.0"
"2019","Tecnicatura en Gestión Universitaria - Modalidad a Distancia -","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","56.0"
"2019","Tecnicatura en Gestión Universitaria - Modalidad a Distancia -","2019 - 2 - 11 - Febrero - Marzo","Aprobado","21.0"
"2019","Tecnicatura en Gestión Universitaria - Modalidad a Distancia -","2019 - 2 - Julio - Agosto","Ausente","22.0"
"2019","Tecnicatura en Gestión Universitaria - Modalidad a Distancia -","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","14.0"
"2019","Tecnicatura en Gestión Universitaria - Modalidad a Distancia -","2019 - 2 - 11 - Febrero - Marzo","Ausente","10.0"
"2019","Tecnicatura en Gestión Universitaria - Modalidad a Distancia -","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","2.0"
"2019","11-ALUMNOS INTERNACIONALES","2019 - 2 - Julio - Agosto","Aprobado","41.0"
"2019","11-ALUMNOS INTERNACIONALES","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","28.0"
"2019","11-ALUMNOS INTERNACIONALES","2019 - 2 - Mayo","Ausente","2.0"
"2019","11-ALUMNOS INTERNACIONALES","2019 - 2 - Julio - Agosto","Ausente","3.0"
"2019","11-ALUMNOS INTERNACIONALES","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","7.0"
"2019","11-ALUMNOS INTERNACIONALES","2019 - 2 - Julio - Agosto","Reprobado","3.0"
"2019","11-ALUMNOS INTERNACIONALES","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","5.0"
"2019","11-VOCACIONALES","2019 - 2 - Julio - Agosto","Aprobado","1.0"
"2019","11-VOCACIONALES","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","3.0"
"2019","11-VOCACIONALES","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","1.0"
"2019","11-VOCACIONALES","2019 - 2 - Septiembre","Ausente","1.0"
"2020","Ciencias Económicas","2020 - 2 - 11 - Febrero - Marzo","Aprobado","919.0"
"2020","Ciencias Económicas","2020 - 2 - 11- Julio - Agosto","Aprobado","2976.0"
"2020","Ciencias Económicas","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","2845.0"
"2020","Ciencias Económicas","2020 - 2 - 11 - Nivelación","Aprobado","3634.0"
"2020","Ciencias Económicas","2020 - 2 - 11 - Febrero - Marzo","Ausente","1453.0"
"2020","Ciencias Económicas","2020 - 2 - 11- Julio - Agosto","Ausente","2485.0"
"2020","Ciencias Económicas","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","1935.0"
"2020","Ciencias Económicas","2020 - 2 - 11 - Febrero - Marzo","Reprobado","1245.0"
"2020","Ciencias Económicas","2020 - 2 - 11- Julio - Agosto","Reprobado","2098.0"
"2020","Ciencias Económicas","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","1870.0"
"2020","Ciencias Económicas","2020 - 2 - 11 - Nivelación","Reprobado","970.0"
"2020","Contador Público","2020 - 2 - 11 - Febrero - Marzo","Aprobado","4447.0"
"2020","Contador Público","2020 - 2 - 11- Julio - Agosto","Aprobado","6482.0"
